name,latitude,longitude
Urochishche Morgi,54.29772,31.34822
Ladygovo,56.48333,31.36667
Ostrov Karedzhi,60.11667,31.38333
Pan’kovka,57.4082,31.4042
Novo-Nikolayevskaya Koloniya,58.59656,31.42889
Vorotok,58.05,31.45
Staroye,56.85654,31.46908
Titovshchina,55.24145,31.48977
Zhukovo,54.3,31.51667
Lukinskoye,59.87866,31.53356
Stolbunka,52.8737,31.5582
Urochishche Korystichi,53.04913,31.57986
Zuyevy Gorki,57.5954,31.5972
Volki,55.46667,31.61667
Staraya Kanava,60.13333,31.63333
Shchekotets,58.02632,31.65776
Zaglody,52.9919,31.672
Pennoye,55.78321,31.6936
Koverdyayevo,56.63858,31.71296
Spiridovo,56.23438,31.72893
Brishchi,56.60417,31.74944
Sosninskaya Pristan’,59.06667,31.76667
Staryy Dvor,58.16498,31.78333
Sokol’ye,58.35,31.8
Myagry,59.41667,31.81667
Samotësy,56.15,31.83333
Maruya,60.07535,31.84993
Rody,57.15413,31.8632
Sotovo,59.71912,31.87962
Sanniki,54.54752,31.8953
Martisovo,56.57177,31.90974
Shanino,57.1868,31.9289
Novonovitskaya,53.0095,31.9477
Dorokhovo,56.23589,31.96259
Gorodok,54.07309,31.97666
Stepana Razina,52.9318,31.9946
Shishkovo,55.6865,32.0089
Kiselevo,56.7825,32.02278
Khakhili,57.6995,32.0351
Govshitsa,56.86513,32.04946
Korokhotkino,54.84541,32.06262
Smolensk,54.79369,32.07599
Ozero Iligovskoye,56.95511,32.08786
Stantsiya Glazhevo,59.6542,32.10266
Gorokhovo,55.4598,32.117
Gedeonovka,54.8275,32.1306
Visyuchiy Bor,57.6416,32.1429
Botaly,56.81294,32.15624
Sesino,55.6643,32.1699
Perfilovo,54.92516,32.18656
Trutnëvo,54.36667,32.2
Vysokoye,54.73423,32.21287
Bocharovshchina,54.71052,32.22639
Klintsy,52.76033,32.23905
Glukharëvo,56.54981,32.25207
Kozino,54.81044,32.2663
Novopechevaya,52.90833,32.27917
Rozhnya,56.56582,32.28866
Vityazi,55.01137,32.30157
Izvoz,59.9821,32.31566
Zhikharëvo,58.28769,32.3291
Bukhovo,54.4179,32.341
Sosnovka,52.82843,32.35564
Safonovo,55.52244,32.3667
Mosty,57.0388,32.383
Sintsovo Vtoroye,56.55,32.4
Chërnaya,58.72938,32.41452
Ozero Beloye,57.7754,32.4305
Krasnyye Gory,54.90441,32.4452
Ozero Okhvat,56.78873,32.45858
Yermoshki,55.88448,32.47135
Orekhovnya,56.93167,32.48528
Kon’kovo,58.60101,32.50113
Edazi,58.35,32.51667
Nezabudkino,53.82056,32.53333
Koryakino,56.86222,32.54861
Sopshino,54.75,32.56667
Zelenets,59.76443,32.57942
Zvannitsa,59.03742,32.59409
Kamennaya Gora,57.8133,32.6094
Zavrazh’ye,56.48528,32.62417
Kamen’,52.54704,32.63979
Kamenka,54.45025,32.65207
Novyye Udritsy,57.9994,32.6667
Malaya Yazovka,53.51667,32.68333
Ozero Vselug,57.03737,32.69722
Urochishche Gorodishche,57.3845,32.7087
Dobra,54.6327,32.72112
Krasnoye Privol’ye,52.7641,32.73568
Smirnaya,59.3586,32.74995
Krivkino,57.6952,32.7621
Samushkino,60.27051,32.77403
Boloshkovo,58.20257,32.78747
Dubovka,54.16667,32.8
Bol’shoye Zamosh’ye,57.7897,32.8141
Kobyl’shchina,57.925,32.8235
Andreyevskiy,52.47154,32.83663
Vasil’kovo,54.63333,32.85
Dubnyaki,52.38607,32.86429
Maslovo,56.6743,32.87762
Dudachkino,59.94861,32.89091
Yekimovo,54.76278,32.90333
Kirilly,53.98333,32.91667
Khalimonki,53.02698,32.92847
Velyukhany,53.07305,32.94142
Stantsiya Paniklya,56.22763,32.95314
Koshelëvo,57.01667,32.96667
Spas,55.75579,32.9796
Prokshino,60.32601,32.99126
Vodogon,59.16978,33.00515
Priozërnaya,57.51316,33.01924
